title,content_chunk,language,keywords,qa_pair,section_type
Currencies And Wallet System,Multiple currencies supported. Each currency is stored in its own wallet. Wallet-to-wallet instant exchange available.,en,"currencies,wallets,exchange",Q: Can I instantly convert USD to SYP? A: Yes instant exchange is supported through your wallets.,accounts
العملات ونظام المحافظ,يدعم البنك عدة عملات. يتم تخزين كل عملة في محفظتها الخاصة. يمكن التحويل الفوري بين المحافظ.,ar,"عملات,محافظ,تحويل",س: هل يمكنني تحويل الدولار الأمريكي إلى الليرة السورية فورًا؟ ج: نعم، التحويل الفوري مدعوم عبر المحافظ.,accounts
Loans,We offer several types of loans. Application forms available on the website. Customers must submit through the online form.,en,loan,Q: How do I apply for a loan? A: Fill out the loan form on our website and submit it.,loans
القروض,يقدم البنك عدة أنواع من القروض. نماذج الطلبات متاحة على الموقع الإلكتروني. يجب على العملاء تقديم الطلب عبر النموذج الإلكتروني.,ar,"قرض",س: كيف يمكنني التقديم للحصول على قرض؟ ج: املأ نموذج القرض على الموقع الإلكتروني وقدم الطلب.,loans
Insights And Reporting,"Features: Saving jars for budgeting. Interactive calendar for reminders and scheduling. Advanced filters for transaction history. Reports available: monthly, annual, category-based. Reports can be downloaded as CSV.",en,"jars,budgeting,filters,annual,reports",Q: Can I download my spending report? A: Yes you can download it as a CSV file from the reporting section.,reports
الرؤى والتقارير,الميزات: صناديق توفير للميزانية. تقويم تفاعلي للتذكيرات والجدولة. فلاتر متقدمة لتاريخ المعاملات. التقارير متاحة: شهريًا، سنويًا، حسب الفئة. يمكن تنزيل التقارير كملف CSV.,ar,"صناديق,ميزانية,فلاتر,سنوي,تقارير,الانفاق",س: هل يمكنني تنزيل تقرير الإنفاق؟ ج: نعم، يمكنك تنزيله كملف CSV من قسم التقارير.,reports
Authentication And Personal Information,"Authentication Methods: Email, PIN, Password. Updating Personal Details: All personal information updates require a branch visit.",en,"personal,authentication",Q: Can I change my phone number online? A: No. All changes must be done at a branch.,authentication
المصادقة والمعلومات الشخصية,طرق المصادقة: البريد الإلكتروني، الرقم السري، كلمة المرور. تحديث المعلومات الشخصية: جميع تحديثات المعلومات الشخصية تتطلب زيارة الفرع.,ar,"مصادقة,شخصية",س: هل يمكنني تغيير رقم هاتفي عبر الإنترنت؟ ج: لا. يجب إجراء جميع التغييرات في الفرع.,authentication
Payments,Supports QR Code payments for fast and secure transactions.,en,"online payment,qr code",Q: How do I pay using QR code? A: Scan the QR code using our app and confirm the transaction.,payments
المدفوعات,يدعم البنك الدفع عبر رمز الاستجابة السريعة (QR) للمعاملات السريعة والآمنة.,ar,"دفع عبر الإنترنت,رمز QR",س: كيف يمكنني الدفع باستخدام رمز QR؟ ج: امسح رمز QR باستخدام التطبيق الخاص بنا وأكد العملية.,payments
